"구분(1)",구분(2),구분(3),구분(4),2020,2021
"대전",재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0
"대전",재활용 가능자원 분리배출,조명폐기물,조명폐기물,254.1,220.6
"대전",재활용 가능자원 분리배출,폐전지류,소계,127.9,149.9
"대전",재활용 가능자원 분리배출,영농폐기물,농약용기류,5.1,6.9
"대전",재활용 가능자원 분리배출,영농폐기물,폐비닐,449.7,377.5
"대전",재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0
"대전",재활용 가능자원 분리배출,폐전기전자제품,소계,2668.5,359.0
"대전",재활용 가능자원 분리배출,폐가구류,소계,0.0,0.0
"대전",재활용 가능자원 분리배출,기타,소계,309.7,341.3
"대전",재활용 가능자원 분리배출,재활용 잔재물,소계,22153.5,25562.3
"대전",음식물류 폐기물 분리배출,소계,소계,155208.2,150698.7
"울산",합계,소계,소계,422336.6,368680.6
"울산",종량제방식 등 혼합배출,소계,소계,198641.1,195448.3
"울산",종량제방식 등 혼합배출,가연성,소계,147605.8,143537.5
"울산",종량제방식 등 혼합배출,가연성,폐지류,31744.8,32845.3
"울산",종량제방식 등 혼합배출,가연성,폐합성수지류,28736.8,28830.2
"울산",종량제방식 등 혼합배출,가연성,폐고무류,1036.6,1068.6
"울산",종량제방식 등 혼합배출,가연성,폐섬유류,7026.5,6680.1
"울산",종량제방식 등 혼합배출,가연성,음식물류 폐기물,9752.1,9346.7
"울산",종량제방식 등 혼합배출,가연성,폐목재류,4264.3,3784.5
"울산",종량제방식 등 혼합배출,가연성,기타,65044.7,60982.1
"울산",종량제방식 등 혼합배출,불연성,소계,26017.5,26685.7
"울산",종량제방식 등 혼합배출,불연성,폐금속류,3393.5,3454.6
"울산",종량제방식 등 혼합배출,불연성,폐유리류,4937.2,5077.2
"울산",종량제방식 등 혼합배출,불연성,폐토사류,1290.6,1436.2
"울산",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,377.0,359.6
"울산",종량제방식 등 혼합배출,불연성,연탄재,17.7,18.5
"울산",종량제방식 등 혼합배출,불연성,기타,16001.5,16339.6
"울산",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),19094.5,19650.2
"울산",종량제방식 등 혼합배출,기타(배출불명등),소계,5923.3,5574.9
"울산",재활용 가능자원 분리배출,소계,소계,117600.0,72676.8
"울산",재활용 가능자원 분리배출,폐지류,종이팩,2796.4,164.9
"울산",재활용 가능자원 분리배출,폐지류,기타,28287.8,29157.6
"울산",재활용 가능자원 분리배출,고철류,소계,17810.5,1304.8
"울산",재활용 가능자원 분리배출,금속캔,소계,6792.8,1475.6
"울산",재활용 가능자원 분리배출,폐합성수지류,비닐류,7274.2,6455.5
"울산",재활용 가능자원 분리배출,폐합성수지류,발포수지류,2966.7,764.1
"울산",재활용 가능자원 분리배출,폐합성수지류,PET병,13845.4,3253.7
"울산",재활용 가능자원 분리배출,폐합성수지류,기타,6865.0,6166.1
"울산",재활용 가능자원 분리배출,폐고무류,소계,0.0,0.0
"울산",재활용 가능자원 분리배출,폐유리병류,소계,9172.0,5490.1
"울산",재활용 가능자원 분리배출,폐의류,소계,1606.8,2395.5
"울산",재활용 가능자원 분리배출,폐섬유류,소계,216.9,0.0
"울산",재활용 가능자원 분리배출,조명폐기물,조명폐기물,231.5,109.5
"울산",재활용 가능자원 분리배출,폐전지류,소계,79.3,93.0
"울산",재활용 가능자원 분리배출,영농폐기물,농약용기류,9.8,7.9
"울산",재활용 가능자원 분리배출,영농폐기물,폐비닐,843.3,709.3
"울산",재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0
"울산",재활용 가능자원 분리배출,폐전기전자제품,소계,2472.0,4722.0
"울산",재활용 가능자원 분리배출,폐가구류,소계,0.0,0.0
"울산",재활용 가능자원 분리배출,기타,소계,3163.3,1340.2
"울산",재활용 가능자원 분리배출,재활용 잔재물,소계,13166.3,9067.0
"울산",음식물류 폐기물 분리배출,소계,소계,106095.5,100555.5
"세종",합계,소계,소계,117891.2,105920.0
"세종",종량제방식 등 혼합배출,소계,소계,50915.9,60679.4
"세종",종량제방식 등 혼합배출,가연성,소계,47279.8,56346.8
"세종",종량제방식 등 혼합배출,가연성,폐지류,14832.5,17675.9
"세종",종량제방식 등 혼합배출,가연성,폐합성수지류,11513.7,13719.6
"세종",종량제방식 등 혼합배출,가연성,폐고무류,692.8,631.1
"세종",종량제방식 등 혼합배출,가연성,폐섬유류,2119.2,2524.2
"세종",종량제방식 등 혼합배출,가연성,음식물류 폐기물,2818.7,3361.7
"세종",종량제방식 등 혼합배출,가연성,폐목재류,1100.2,1310.6
"세종",종량제방식 등 혼합배출,가연성,기타,14202.7,17123.7
"세종",종량제방식 등 혼합배출,불연성,소계,3636.1,4332.6
"세종",종량제방식 등 혼합배출,불연성,폐금속류,1022.0,1219.6
"세종",종량제방식 등 혼합배출,불연성,폐유리류,1661.7,1978.2
"세종",종량제방식 등 혼합배출,불연성,폐토사류,99.4,121.3
"세종",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,68.1,78.9
"세종",종량제방식 등 혼합배출,불연성,연탄재,377.3,412.7
"세종",종량제방식 등 혼합배출,불연성,기타,407.6,521.9
"세종",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0
"세종",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,0.0
"세종",재활용 가능자원 분리배출,소계,소계,51293.6,29153.0
"세종",재활용 가능자원 분리배출,폐지류,종이팩,441.3,130.1
"세종",재활용 가능자원 분리배출,폐지류,기타,11379.6,13221.5
"세종",재활용 가능자원 분리배출,고철류,소계,28427.2,472.0
"세종",재활용 가능자원 분리배출,금속캔,소계,662.0,806.3
